book_id,category_id
33149,634
61766,366
94698,397
17063,1348
51849,1487
31818,1566
24176,1639
26799,964
38637,819
11107,587
62051,1217
62714,503
88848,732
10377,1172
22499,691
60645,632
54637,40
35103,1616
81383,1169
39970,798
39813,3
82096,3
27203,966
28129,1567
56822,610
99292,785
58323,1633
96851,404
27255,1175
44605,1536
1681,1423
65801,567
87835,1981
57284,1122
33406,710
58206,1694
48409,1565
69682,324
4555,748
95377,45
14687,1219
74876,1163
38738,276
93082,1211
15262,938
22275,703
69353,1546
13802,752
83071,726
66498,1365
12740,170
8806,1273
7065,57
71171,713
2185,71
24056,853
39139,135
13302,80
34575,1567
10931,1812
90611,701
53644,873
83369,575
74123,1315
81900,362
36387,1152
56384,1920
88990,865
77315,1269
8921,1662
15346,835
36889,299
41542,1718
27492,1780
41260,1732
9202,530
56111,1819
65310,674
56585,148
94902,269
50787,823
64406,1539
80290,1462
82992,1988
57031,1176
53124,650
68708,821
37335,134
33425,686
1828,1914
20908,1285
62388,1767
52617,1447
22737,1178
59019,1764
15677,56
38380,1929
22257,1440
89506,36
52334,1854
47623,1828
28001,1361
46045,504
30449,1691
65765,403
11175,1660
2903,1295
73821,360
61431,842
79629,1639
64412,1189
96639,121
71358,1883
5709,1139
7961,238
96608,744
46532,1340
50044,748
51134,959
69281,138
13002,767
32438,1142
1834,474
76093,72
41853,366
9753,317
16300,339
89197,369
63430,831
88981,1140
41820,652
63499,1703
17729,1217
69962,334
64821,496
6294,1281
29022,36
104,169
15302,860
25018,848
19246,406
61158,1402
62356,515
91184,377
28277,1067
2660,1536
26608,1322
77501,68
58139,150
86325,853
45405,1337
16452,995
89517,1614
20284,276
82100,636
50687,1788
83647,1481
75120,833
114,876
87618,425
62935,1103
16866,566
18831,223
77271,1194
23163,111
9195,1103
42965,327
52934,822
17063,1519
23797,938
42437,1017
53608,999
21875,1479
80210,1782
65401,31
19068,1658
54264,1780
21690,486
10477,871
58390,1383
30702,330
57140,1322
39616,1203
38019,1176
40511,1377
2422,1949
60271,728
83054,236
98308,111
66263,1165
27059,297
83674,1477
53940,39
62795,484
26739,670
14586,1597
9090,1370
42324,1107
7629,231
70024,745
96351,193
57249,1446
37592,1054
61198,1316
82343,96
92707,1995
97732,1352
80382,228
41125,1746
71766,1223
84381,511
80939,963
30693,453
46315,268
68607,942
80146,1088
72005,464
65932,733
30949,760
67733,253
60274,702
87838,1958
87859,1869
39394,1030
83181,1954
20963,1511
10143,1663
53217,1209
95421,339
67886,1524
63568,1601
72266,743
11749,1704
46268,1386
11077,1631
44105,1434
67219,1536
66140,385
12690,945
47728,418
87111,833
13396,607
32759,1440
24897,1331
77200,1601
56621,265
78659,275
88228,1709
75479,1537
904,1281
80141,315
75070,1551
32736,1870
22713,192
66167,92
77468,1510
42521,1797
87024,1954
66766,1120
72977,601
50427,10
91884,571
40088,1409
19649,1829
25830,1706
21118,831
